Feiertage;Art;von;bis;Beschreibung
Internationaler Tag der Demokratie;säkular;15.09.2018;;"Im Jahr 2007 bestimmte die Generalversammlung der Vereinten Nationen den 15. September als Internationalen Tag der Demokratie. Das Ziel des Tages sind die Förderung und Verteidigung der Grundsätze der Demokratie. Fast drei Jahrzehnte nach dem Untergang der DDR und der Deutschen Einheit sind das Leben in einer Demokratie und die damit verbundenen Rechte und Freiheiten wie der Schutz der Menschenwürde, die Meinungs-, Versammlungs-, Religions- und Pressefreiheit oder auch das Wahlrecht für uns selbstverständlich geworden. Doch eine Demokratie ist nicht selbstverständlich! So musste Deutschland im letzten Jahrhundert zwei Diktaturen überstehen - die Aufarbeitung dieser Vergangenheit dauert bis heute an. Und beim Blick über die Grenzen zeigt es sich, dass es noch viele Diktaturen auf der Welt gibt, in denen die Bürgerinnen und Bürger unterdrückt werden und die zum Teil gegenüber anderen Staaten aggressiv auftreten. 
"
Radhastami;hinduistisch;17.09.2018;;Geburtstag Radhas, der Gefährtin Krishnas
Jom Kippur /???? ???????? ;jüdisch;18.09.2018;29.09.2018;"Der Versöhnungstag ist der höchste jüdische Feiertag. Zehn Tage nach dem Neujahrsfest, an dem die Menschen für ihre Taten des vergangenen Jahres beurteilt wurden, bietet dieser heilige Fastentag (Essen und Trinken sind ca. 25 Stunden verboten) die Möglichkeit, das
Urteil durch Reue und Umkehr noch positiv zu verändern."
Aschura / ??????? / A?ure Günü;islamisch;20.09.2018;;"Das Fest erinnert an mehrere große Ereignisse, wie z.B. die Erschaffung der Erde und der Himmel, die Anerkennung der Reue Adams
durch Gott, die Errettung Noahs von der Sintflut, die Errettung Abrahams vom Feuer, die Rettung des Propheten Mose in Ägypten. Es
findet am zehnten des ersten Monats (Muharram) im islamischen Kalender statt. Der Tradition (Sunna) des Propheten Mohammad (Fsmi)
folgend, fasten an diesem Tag viele Muslime. Zudem bereiten sie eine Aschura-Süßspeise zu, die auf Noah zurückgeführt wird.
Gleichzeitig erinnert Aschura an die Ermordung Hüseyins, dem Enkel des Propheten, in Kerbala. Somit ist dieser Tag auch ein Tag der
Trauer."
Todestag Heiliger Hüseyin;alevitisch;20.09.2018;;Der 10. Oktober 680 wird als Todestag des Heiligen Hüseyin angenommen und viele Aleviten gedenken neben dem Muharrem-Fasten auch an diesem Tag des Heiligen. Todestag 23.10. Gedenktag zum Todestag 10.10.
Weltkindertag;säkular;20.09.2018;;"Der 20. September ist der Jahrestag der Erklärung der Kinderrechte im Jahr 1989 durch die Vereinten Nationen. Deutschland feiert den Weltkindertag jedes Jahr am 20. September, ebenso wie Österreich. In über 145 Ländern macht der Weltkindertag auf die Rechte der Kinder in der Welt aufmerksam. Es werden Kinderfeste gefeiert oder sonstige schöne Dinge mit Kindern unternommen. In den Bundsländern Berlin, Brandenburg, Mecklenburg-Vorpommern, Sachsen-Anhalt, Sachen, Thüringen wird traditionell der Internationale Kindertag am 1. Juni gefeiert. 
"
Sukkot / ???????;jüdisch;23.09.2018;30.09.2018;"Sieben Tage lang in Israel, außerhalb acht Tage, soll man sein festes Haus verlassen und in Laubhütten wohnen, um daran zu erinnern, dass die Kinder Israel 40 Jahre durch die Wüste wanderten und von Gott beschützt wurden. Die Hütten müssen unter freiem Himmel
stehen und dürfen nur mit Laub bedeckt werden."
Asure-Feier;alevitisch;23.09.2018;;Im Anschluss an das zwölftägige Muharrem-Fasten wird dieses Fest gefeiert. Es wird eine süße Suppe (Aschure) gekocht und als Symbol der Dankbarkeit unter Bekannten, Verwandten und Nachbarn verteilt und gemeinsam gegessen. Die Anzahl der Zutaten (zwölf) und die Tage des Fastens sollen an das Leid der heiligen zwölf Imame erinnern. Der Aschure-Kult soll auch an die Arche Noah erinnern. Noah hatte der Überlieferung zufolge mit den Resten seiner Vorräte diese Speise zubereitet.
Tag der Bisexualität;säkular;23.09.2018;;"Begründet wurde der Tag der Bisexualität im Jahre 1999 von den drei US-amerikanischen Bürgerrechtlern. Im Gegensatz zu vielen ähnlichen Aktionstagen der Lesben, Schwule, Bi- und Transsexuellen Bewegung soll der Tag der Bisexualität als Reaktion auf die Vorurteile und Marginalisierung bisexueller Personen sowohl in der heterosexuellen Gesellschaft als auch in der LGBT-Community hinweisen. Dabei geht die Wahl des Datums auf die erste Veranstaltung unter diesem Namen im Jahr 1999 zurück, die auf der International Lesbian and Gay Association abgehalten wurde und eben in die Woche rund um den 23. September fiel. Während dieser Aktionstag anfangs noch lediglich regional begangen wurde, erfährt das Datum inzwischen weltweite Aufmerksamkeit u.a. in Deutschland, Japan, Neuseeland, Schweden und Großbritannien.
"
Interkulturelle Woche;säkular;23.09.2018;29.09.2018;Die bundesweite Interkulturelle Woche (IKW) ist eine Initiative der Deutschen Bischofskonferenz, der Evangelischen Kirche in Deutschland und der Griechisch-Orthodoxen Metropolie. Sie findet seit 1975 Ende September statt und wird von Kirchen, Gewerkschaften, Wohlfahrtsverbänden, Kommunen, Integrationsbeauftragten und -beiräten, Migrantenorganisationen sowie Initiativgruppen unterstützt und mitgetragen. In mehr als 550 Städten und Gemeinden werden rund 5.000 Veranstaltungen durchgeführt. Der Ende September abgehaltene bundesweite Tag des Flüchtlings ist Bestandteil der IKW.
Schlussfest Achter Tag / ?????????? ??????? / Schmini Azeret;jüdisch;30.09.2018;;Jeden Schabbat (Samstag) trägt man in der Synagoge einen Abschnitt aus der Thora (5 Bücher Moses) vor, so dass man im Ablauf eines Jahres die Thora einmal komplett gelesen hat. An Simchat Thora wird der Zyklus der Thora-Lesung abgeschlossen und anschließend von vorne begonnen. Bei diesem sehr fröhlichen Fest wird mit den Thorarollen auf dem Arm durch die Synagoge getanzt, als Ausdruck der Verbundenheit und Liebe zur Schrift.
Ende Sukkot;jüdisch;30.09.2018;;Ende des Sukkots
Internationaler Tag der älteren Menschen;säkular;01.10.2018;;Die Generalversammlung der Vereinten Nationen erklärte den 1. Oktober im Jahr 1990 zum Welttag der älteren Menschen. Mit diesem Tag soll auf die Chancen und anstehenden Herausforderungen in Bezug auf die immer älter werdende Gesellschaft aufmerksam gemacht und eine Diskriminierung älterer Menschen reduzieren werden.
Freude der Tora / ???????? ??????? / Simchat Tora ;jüdisch;02.10.2018;;Jeden Schabbat (Samstag) trägt man in der Synagoge einen Abschnitt aus der Thora (5 Bücher Moses) vor, so dass man im Ablauf eines Jahres die Thora einmal komplett gelesen hat. An Simchat Thora wird der Zyklus der Thora-Lesung abgeschlossen und anschließend von vorne begonnen. Bei diesem sehr fröhlichen Fest wird mit den Thorarollen auf dem Arm durch die Synagoge getanzt, als Ausdruck der Verbundenheit und Liebe zur Schrift.
Tag der Deutschen Einheit;säkular;03.10.2018;;Mit dem Nationalfeiertag der Deutschen Einheit am 3. Oktober soll an das historische Ereignis der deutschen Wiedervereinigung erinnert werden. Am 3. Oktober 1990 hörte die Deutsche Demokratische Republik (DDR) als souveräner Staat auf zu existieren und trat der Bundesrepublik Deutschland (BRD) bei.  Traditionell wird für diesen Tag ein Bürgerfest organisiert, bei dem sich auf der sogenannten »Ländermeile« die Bundesländer und die Regierung vorstellen. 2018 findet dieses in Berlin statt.
Kathina (Theravada);buddhistisch;05.10.2018;;"Die traditionellen buddhistischen Kathina Zeremonien werden zum Vollmond am Ende der Regenzeit begangen. Nach unserer Zeitrechnung ist das der Vollmond des gregorianischen Monats Oktober bzw. November. Jedoch variieren die Termine der Feierlichkeiten. Das Wort ""Kathina"" stammt aus der Pali-Sprache und bedeutet soviel wie: ""Die Gabe, die großen Nutzen bringen wird"". Die Kathina Rituale, deren wesentliches Element es ist den Mönchen einer Klosters neue Roben zu schenken, sind vor allem im Theravada Buddhismus üblich.
Die dreimonatige Regenzeit ist für buddhistische Mönche und Nonnen des Theravada-Buddhismus nicht nur eine Zeit intensiver Meditation. In diesen drei Monaten des buddhistischen Jahres ist auch ein Studium des Dhamma Vinaya üblich. Der Vinaya ist der Teil des Pali Kanons, der die Ordensregeln sowie deren Entstehungsgeschichte enthält. Für Mönche (Bhikkhu-Patimokkha) existieren im Pali Kanon 227 Regeln, für Nonnen (Bhikkhuni-Patimokkha) 311 Regeln.
"
Erntedankfest;christ.evan./kath.;07.10.2018;;"Die Christen danken Gott für die eingebrachte Ernte und für alles, was den Menschen zum Leben geschenkt wird. Die Kirche wird mit
Früchten, Gemüse, Getreide, Brot und Blumen geschmückt."
Welttag für menschenwürdige Arbeit;säkular;07.10.2018;;"Der Aktionstag wurde vom Internationalen Gewerkschaftsbund im Jahr 2006 als internationaler Tag für Gute Arbeit ins Leben gerufen. Der Tag wurde zum ersten Mal im Jahr 2008 begangen. An diesem Tag treten die Gewerkschaften weltweit und öffentlich für die Herstellung menschenwürdiger Arbeitsbedingungen ein. Darunter versteht der Internationalen Gewerkschaftsbund insbesondere ein Verbot der Kinderarbeit, Maßnahmen, die der Benachteiligung von Frauen am Arbeitsplatz entgegenwirken, ein Hinwirken auf „qualitativ hochwertige öffentliche Dienste“, den Schutz der Umwelt, einen hinreichenden Arbeitsschutz der Beschäftigten und eine angemessene soziale Sicherung. (Mehr Informationen: http://www.ituc-csi.org/world-day-for-decent-work?lang=de)
"
Lha Bab Duechen;buddhistisch;10.10.2018;;Lha Bab Duechen ist einer der vier großen Festtage (duechen) im Jahr. Dieser Tag ist mit Buddha Shakyamunis Herabstieg aus der Götterwelt verbunden. An diesem Tag werden die Wirkungen positiver und negativer Handlungen zehn Millionen Mal vervielfacht.
Internationaler Mädchentag;säkular;11.10.2018;;Der Internationale Mädchentag auch Welt-Mädchentag genannt ist ein von den Vereinten Nationen initiierter Aktionstag. Er soll in jedem Jahr am 11. Oktober einen Anlass geben, um auf die weltweit vorhandenen Benachteiligungen von Mädchen hinzuweisen. Der Internationale Mädchentag verfolgt das Ziel, auf die schwierige Situation von Mädchen in vielen Ländern der Welt aufmerksam zu machen. Durch begleitende Kampagnen sollen Möglichkeiten zur Verbesserung der Situation gezeigt werden. In diesem Sinne wird z.B. eine gezielte Förderung von Mädchen und jungen Frauen durch Bildung, Bekämpfung von Zwangsehe, Gleichberechtigung in allen Lebensbereichen und keine Toleranz für Gewalt gegen Mädchen und junge Frauen im Namen von Tradition oder Kultur, gefordert.
Internationaler Coming-Out Day;säkular;11.10.2018;;"Der Coming-out-Tag wird seit 1988 am 11. Oktober jedes Jahres begangen. An diesem Tag werden Schwule, Lesben, Bisexuelle, Transgender (LGBT+) weltweit dazu aufgerufen, sofern sie sich persönlich dazu bereit sehen, sich öffentlich zu ihrer sexuellen Orientierung zu bekennen. Die Tradition des Coming Out Day geht auf den zweiten nationalen ""March on Washington for Lesbian and Gay Rights"" zurück. Am 11. Oktober 1987 demonstrierten rund 500.000 Menschen in der US-amerikanischen Hauptstadt Washington D.C. für die Gleichberechtigung Homosexueller. Bereits am ersten offiziell gefeierten Coming Out Day im Jahr 1988 haben Tausende Schwule und Lesben ihre Namen in US-amerikanischen Zeitungen veröffentlichen lassen. Mit diesem Tag soll vielen Menschen, besonders Jugendlichen, Mut gemacht werden ihre sexuelle Orientierung nicht weiter zu verheimlichen, sondern mit anderen zu teilen. Außerdem soll auf Konflikte und Probleme junger Menschen, die aufgrund ihrer nicht-heterosexueller Orientierung entstehen, hingewiesen werden. "
Tag des weißen Stocks;säkular;15.10.2018;;Als Tag des weißen Stockes nutzen weltweit Blindenverbände den 15. Oktober, um auf die Situation blinder und sehbehinderter Menschen aufmerksam zu machen. Am 15. Oktober 1964 übergab US-Präsident Lyndon B. Johnson in einem symbolischen Akt Langstöcke an Menschen mit Blindheit und starker Sehbehinderung, was als Beginn des systematischen Orientierungs- und Mobilitätstrainings gilt. Der weiße Stock wurde somit offiziell als Schutz und Erkennungszeichen blinder Menschen anerkannt.
Durga Puja;hinduistisch;14.10.2018;19.10.2018;"Durga Puja ist im Hinduismus das Fest zu Ehren der Göttin Durga. Sie ist die wohl populärste Form der Göttin, die in unterschiedlichen Erscheinungsformen existiert, gütig ebenso wie strafend. Nach dem hinduistischen Mondkalender wird Durga Puja Ende September oder im Oktober gefeiert. Besonders in Bengalen, Assam sowie dem hinduistischen Nepal, wo man dasselbe Fest Dasain nennt, feiern es die Menschen zehn Tage lang. In Westbengalen mit der Hauptstadt Kolkata ist es sogar das wichtigste Fest des gesamten Jahres. In anderen Gegenden Indiens feiern die Menschen zur selben Zeit zwar auch die Göttin, aber unter anderem Namen, wie etwa Amba, Mutter Erde. Auch zelebriert man andere Bräuche und kennt einen anderen mythologischen Hintergrund. Das Fest heißt hier Navaratri oder Navaratra (Fest der neun Nächte). Im Norden von Indien ist dasselbe Fest als Dashahara oder Vijaya-Dashami (Zehn Siegestage) Rama geweiht, einer Inkarnation Vishnus. Die Bedeutung von Durga Puja gilt nicht nur dem religiösen Aspekt, es handelt sich auch um ein wichtiges gesellschaftliches Ereignis im Jahreslauf. In allen Dörfern und Städten feiern die Menschen die Ankunft der Göttin mit Konzerten, Tanzdramen und prunkvollen Prozessionen. 
"
Navaratri der Durga Puja;hinduistisch;15.10.2018;19.10.2018;"Die zehnarmige Göttin Durga war von den Göttern beauftragt, den Büffeldämon Mahishasura zu besiegen. Das Gute möge das
Schlechte besiegen, auch in uns selbst. Das Fest dauert neun Nächte (Navaratri), in denen verschiedene Göttinnen verehrt werden."
Dussehrafest;hinduistisch;18.10.2018;;Fest des Siegs der Göttin Durga gegen den Dämon Mahishasura und des Siegs über das Schlechte.
Welttag der Intersexualität;säkular;26.10.2018;;Der Welttag der Intersexualität findet am 26. Oktober statt und soll an die Intersexualität erinnern. Die Medizin spricht von Intersexualität, wenn ein Mensch genetisch oder anatomisch und hormonell nicht eindeutig dem weiblichen oder dem männlichen Geschlecht zugeordnet werden kann. Betsy Driver und Emi Koyama haben den Internationale Tag der Intersexualität im Jahr 2004 ins Leben gerufen, um Scharm, Geheimhaltung und unerwünschte kosmetische Genitaloperationen an intersexuellen Kindern zu beenden. Der Aktionstag erinnert an die erste öffentlich Demonstration von intersexuellen Menschen in Nordamerika am 26. Oktober 1996, welche vor allen durch Morgan Holmes, Max Beck und ihren Freunden geprägt wurde.
Reformationstag ;christ.evan./kath.;31.10.2018;;"Vor 1517 gab es verschiedene Missstände in der katholischen Kirche. Dazu gehörte der „Ablasshandel“: durch die Zahlung von Geld
glaubte man, Gottes Strafe für Sünden zu verringern. Martin Luther formulierte 95 Thesen, die er an den Papst sandte und an der Tür
der Schloss-Kirche in Wittenberg anschlug – der Beginn der Reformation. Sein Protest veränderte Deutschland und die Kirche. Was als
Reform gedacht war, entwickelte sich zu einer Spaltung. Heute sind viele Missstände in der katholischen Kirche überwunden. Es gibt
eine Ökumene: gemeinsame Gottesdienste und Gespräche. Im Jubiläumsjahr wird es viele gemeinsame Veranstaltungen von evange -
lischen und katholischen Christen geben."
Halloween;säkular;31.10.2018;;Halloween benennt die Volksbräuche am Abend und in der Nacht vor dem Hochfest Allerheiligen, vom 31. Oktober auf den 1. November. Dieses Brauchtum war ursprünglich vor allem im katholischen Irland verbreitet. Die irischen Einwanderer in den USA pflegten ihre Bräuche in Erinnerung an die Heimat und bauten sie aus. Im Zuge der irischen Renaissance nach 1830 wurden in der frühen volkskundlichen Literatur eine Kontinuität der Halloweenbräuche seit der Keltenzeit und Bezüge zu heidnischen und keltischen Traditionen angenommen. Seit den 1990er Jahren verbreiten sich Halloween-Bräuche in US-amerikanischer Ausprägung auch im kontinentalen Europa. Dabei gibt es deutliche regionale Unterschiede. So vermischten sich insbesondere im deutschsprachigen Raum heimatliche Bräuche mit Halloween.
Allerheiligen;christ.kath.;01.11.2018;;"Katholische Christen gedenken an diesem Tag der großen Schar der Heiligen im Himmel, mit denen sie sich heute schon in
Gemeinschaft wissen. In Verbindung mit dem Allerseelentag am 2. November ist er seit dem 11. Jahrhundert auch ein Tag zur Erinnerung
an alle Toten und zur Besinnung auf das eigene Sterben. Man schmückt die Gräber mit brennenden Lichtern."
Allerseelen;christ.kath.;02.11.2018;;An Allerseelen begeht die römisch-katholische Kirche das Gedächtnis ihrer Verstorbenen. Durch Gebet, Fürbitte, Almosen und Friedhofsgänge gedenken die Menschen aller Armen Seelen im Fegefeuer und wenden ihnen Ablässe zu. In der römisch-katholischen Kirche hat der Allerseelenablass daher eine besondere Bedeutung.
Diwalifest;hinduistisch;07.11.2018;10.11.2018;"Diwali (Lichterkette) ist das große Fest der Lichter, die dem Königspaar Sita und Rama den Weg durch den Wald nach Hause leuchteten,
nachdem Rama den Dämonen Ravana besiegt und Sita befreit hatte. Öllampen in den Fenstern laden die Glücksgöttin Laksmi ein.
Das Fest symbolisiert den Sieg des Guten über das Schlechte, des Lichts über die Dunkelheit und der Reinheit über die Unreinheit."
Geburt des Bab;bahai;09.11.2018;;Der Báb (arab.: das Tor), der Vorläufer Bahá’u’lláhs, wurde 1819 in Schiras, Iran, geboren.
Reichsprogromnacht;säkular;09.11.2018;;Nachdem sich schon seit Beginn des Jahres 1938 die antijüdische Politik verschärft hatte, begann im Herbst 1938 eine neue Phase der Verfolgung. Ein Attentat auf den Diplomaten Ernst von Rath in der deutschen Botschaft in Paris nahm das nationalsozialistische Regime zum Anlass für organisierte Gewaltmaßnahmen gegen Juden im ganzen Reich. In der Nacht vom 9. auf den 10. November brachen Polizisten und Einheiten der Sturmabteilung (SA) und Schutzstaffel (SS) in Zivil in jüdischen Gotteshäuser ein, zerstörten alles und zündeten gesamte jüdische Einrichtungen an. Wie überall in Deutschland wurden auch in Köln, ungehindert von der Bevölkerung oder sogar von ihr unterstützt, ungezählte Wohnungen und Geschäfte verwüstet, jüdische Menschen misshandelt und gedemütigt. Hunderte von jüdischen Männern verhaftete man und inhaftierte sie im Konzentrationslager Dachau. Die Synagogen in der Roonstraße, der Glockengasse und der Körnerstraße brannten nieder, die Synagoge in der St.-Apern-Straße wurde verwüstet. Ebenso wurden die Synagogen in Mülheim und Deutz zerstört. Seit 1978 hat der 9. November auch auf Bundesebene den ihm gebührenden Rang als festes Erinnerungsdatum eingenommen. Ein gemeinsamer Vorstoß des Zentralrats der Juden, der Gewerkschaft Erziehung und Wissenschaft (GEW) und der Kultusministerkonferenz löste damals zahlreiche Schulveranstaltungen aus. In Köln findet jährlich eine Gedenkveranstaltung in der Synagoge in der Roonstraße sowie am Lern- und Gedenkort Jawne statt.
Mauerfall 1989;säkular;09.11.2018;;"Die Berliner Mauer mit einer Gesamtlänge von 155 km rund um Westberlin bildete die Grenze zwischen Ost und West. Bewachung durch Grenzsoldaten, Stacheldraht, Minen und Selbstschussanlagen machten diese Grenzbefestigung nahezu unüberwindlich. Sie war das abschreckendste Symbol des Ost-West-Konfliktes. In den ersten Oktobertagen 1989 trotz massiver staatlicher Einschüchterungsversuche in Plauen, Leipzig und in anderen Städten der ehemaligen DDR gingen Demonstranten gegen die SED-Diktatur auf die Straße. Immer mehr Menschen schlossen sich den Protesten an und forderten eine Änderung der Reisegesetze.  Anfang November 1989 wurde ein Entwurf veröffentlicht, der für heftige Proteste sorgte, weil er den Bürgern der DDR eine nur mit erheblichen Einschränkungen versehene Reisefreiheit in Aussicht stellte. So spitzte sich die Lage der Demonstrationen zu und die Öffentlichkeit forderte die Öffnung der Grenzübergänge. Am späten Abend des 9. Novembers fand eine Pressekonferenz statt, auf der die neuen Reiseregelungen der DDR-BürgerInnen veröffentlicht wurden. Zeitgleich spielen sich tumultartige Szenen vor der Mauer ab, die von den Grenzkommandanten nicht zurückgehalten werden können.  Eine halbe Stunde vor Mitternacht entschließen sich einzelne Grenzkommandanten aufgrund des Druckes der Demonstranten, die Tore einfach zu öffnen. Die Mauer ist gefallen. Auch an anderen Übergängen der innerdeutschen Grenze strömen tausende DDR-Bürgerinnen und Bürger in die Bundesrepublik und werden im Westen begeistert empfangen. Der Mauerfall am Abend des 9. Novembers stellt das Ende der DDR und den Anfang der Wiedervereinigung dar.  Er erinnert auch an erfolgreichen Widerstand und Bürgermut. Außerdem markiert der Mauerfall das Ende des Kalten Krieges.
"
Geburt Bahá'u'Iláhs;bahai;10.11.2018;;Bahá´u´lláh (arab.: Herrlichkeit Gottes), der Stifter der Bahá’í-Religion, wurde 1817 in Teheran, Iran, geboren.
Sankt Martin;christ.evan./kath.;11.11.2018;;"Der römische Soldat und spätere Bischof Martin von Tours teilte freiwillig seinen Mantel mit einem frierenden Bettler. Später erkannte er,
dass ihm in dem Bettler Christus selbst begegnet war. Denn Jesus sagt: „Was ihr für einen meiner geringsten Brüder getan habt, das
habt ihr mir getan“ (Mt 25,40). An seinem Namenstag finden Martinszüge statt, bei denen die Kinder bunte Laternen tragen und
Martinslieder singen."
Beginn 5. Jahreszeit ;säkular;11.11.2018;;In Karnevalshochburgen wird der 11. November als Elfter im Elften um 11:11 Uhr als Beginn der Karnevalssession gefeiert. Die Session beginnt am 11. November, dem Elften im Elften, mit der Ausrufung des Karnevals und der offiziellen Vorstellung des neuen Dreigestirns oder des Prinzenpaares, das in der Session amtiert. Die Session endet mit Ablauf des Dienstags vor Aschermittwoch.
Internationaler Tag für Toleranz;säkular;16.11.2018;;"Der internationale Tag für Toleranz findet am 16. November statt. Der Gedenktag geht zurück auf den 16. November 1995: damals unterzeichneten 185 Mitgliedsstaaten der UNESCO feierlich die Erklärung der Prinzipien zur Toleranz. Seitdem erinnert die UNESCO mit dem Tag für Toleranz jährlich an jene Regeln, die ein menschenwürdiges Zusammenleben der unterschiedlichen Kulturen und Religionen auf unserem Planeten ermöglichen. Laut UNESCO ist Toleranz ""eine Tugend, die den Frieden ermöglicht"", und dazu beiträgt, ""den Kult des Krieges durch eine Kultur des Friedens zu überwinden"". Sie stützt sich auf Werte wie die Menschenrechte und Grundfreiheiten eines jeden Menschen. "
Volkstrauertag;säkular;18.11.2018;;Der Volkstrauertag ist in Deutschland ein staatlicher Gedenktag und gehört zu den sogenannten stillen Tagen. Er wird seit 1952 zwei Sonntage vor dem ersten Adventssonntag begangen und erinnert an die Kriegstoten und Opfer der Gewaltherrschaft aller Nationen.
Mohammeds Geburtstag (fsmi) / ???? ????? / Mevlid Kandili;islamisch;19.11.2018;20.11.2018;"In der zwölften Nacht (vom 28. auf den 29. November 2017) des dritten islamischen Monats (12. Rabi’u-l-Awwal) wird die Geburt des
Propheten gefeiert. Er wurde um 570 n.Chr. in Mekka geboren. Heutzutage wird der Geburtstag Mohammads (Fsmi) – Mevlid Kandili im
Türkischen, maulid an-nab? im Arabischen –, in Moscheen in Form von Zeremonien und Gebeten oder auch in besinnlichen
Familienrunden gefeiert."
Muhammeds Geburtstag (ind.);islamisch;20.11.2018;;
Buß- und Bettag;christ.evan.;21.11.2018;;"Buße als In-Sich-Gehen und Sich-Besinnen ist ein wichtiger Bestandteil aller Religionen. 1878 wurde der Buß- und Bettag auf preußische
Initiative deutschlandweit als gesetzlicher Feiertag bis 1995 festgesetzt. In vielen Gemeinden finden heute abends besondere
Gottesdienste statt."
Geburt Guru Nanak Jayanti ;Sikh;23.11.2018;;Guru Nanak ist ein Heiliger und Religionsstifter des Sikhismus. Er predigte vor Jain- und Hindu-Tempeln und vor muslimischen Moscheen und zog dabei eine Vielzahl von Sikhs (Schülern) an. Er war der Ansicht, Religion sollte die Menschen verbinden. Nanak lehnte deshalb das Asketentum ab und forderte von seinen Nachfolgern eine disziplinierte, aber der Welt zugewandte Lebensweise. Beeinflusst von unterschiedlichen lokalen Lehrtraditionen predigte er die Einheit Gottes jenseits der vielfältigen religiösen Formen seiner Anhänger.
Totensonntag;christ.evan./kath.;25.11.2018;;Der Totensonntag ist in den evangelischen Kirchen in Deutschland ein Gedenktag für die Verstorbenen. Er ist der letzte Sonntag vor dem ersten Adventssonntag. König Friedrich Wilhelm III. von Preußen bestimmte durch Kabinettsorder im Jahr 1816 für die evangelische Kirche in den preußischen Gebieten jeweils dem letzten Sonntag vor dem 1. Advent, zum „allgemeinen Kirchenfest zur Erinnerung an die Verstorbenen“.
Internationaler Tag gegen Gewalt an Frauen;säkular;25.11.2018;;Der internationale Tag gegen Gewalt an Frauen ist ein am 25. November jährlich abgehaltener Gedenk- und Aktionstag zur Bekämpfung von Diskriminierung und Gewalt jeder Form gegenüber Frauen und Mädchen. Strategien zur Bekämpfung sollen damit in den Mittelpunkt gestellt werden.
Welt-AIDS-Tag;säkular;01.12.2018;;Am 1. Dezember rücken die Themen HIV und Aids am Welt-Aids-Tag wieder in den Fokus der Öffentlichkeit. Trotz Forschungserfolgen und neuer Therapien sind HIV und Aids weiterhin nicht heilbar. In Köln bekommen pro Woche drei Menschen ein positives Testergebnis mitgeteilt. Betroffen sind sowohl homosexuelle, heterosexuelle als auch bisexuelle Menschen. Weltweit leben etwa 36,7 Millionen Menschen mit HIV, rund 2,1 Millionen kommen pro Jahr dazu. Noch lange haben nicht alle Zugang zu den lebensnotwendigen Medikamenten und noch immer erleben Betroffene Ausgrenzung und Stigmatisierung. Ziel ist es, dafür zu sensibilisieren, wie wichtig ein Miteinander ohne Vorurteile und Ausgrenzung ist – und zu zeigen, dass wir alle positiv zusammen leben können. (Weitere Informationen: http://www.aidshilfe-koeln.de/events/welt-aids-tag/).
1. Advent;christ.evan./kath.;02.12.2018;;"Mit dem ersten Adventssonntag beginnt für evangelische und katholische Christen die Vorbereitungszeit auf das Weihnachtsfest. Advent
meint die Ankunft Gottes in der Welt durch die Geburt seines Sohnes Jesus Christus. Es ist eine Zeit freudiger Erwartung. Zugleich
bezieht sich die adventliche Vorbereitung und Freude auf die Wiederkunft Christi am Ende der Zeiten. Mit dem ersten Advent beginnt
das neue Kirchenjahr."
Beginn Chanukka Fest / ????? ;jüdisch;03.12.2018;10.11.2018;"Als die Hellenisten Israel eroberten, den Tempel entweihten und somit die Ausübung des Tempeldienstes durch die Juden unmöglich machten, stand eine kleine Gruppe von Juden (Makkabäer) gegen die Unterdrücker auf und besiegte sie schließlich im Jahre 165 vor 
der christlichen Zeitrechnung. Um die Heiligkeit des Tempels wieder herstellen zu können, bedurfte es eines speziellen Olivenöls, dessen Herstellung acht Tage dauert, um die Menora (den siebenarmigen Tempelleuchter) zu entzünden. Als man ein Kännchen Öl fand, das eigentlich nur für einen Tag gereicht hätte, geschah das Wunder, und es brannte acht Tage lang. In dieser Zeit konnte neues koscheres Olivenöl gewonnen werden. Bis heute zündet man daher beginnend am 25. Kislew acht Tage lang die Channukia an. Dieser Leuchter
hat insgesamt neun Flammen. Jeden Tag wird eine Kerze mehr angezündet, bis am achten Tag alle Kerzen brennen. Die neunte Kerze ist der so genannte Schamasch – der Diener, der die acht Flammen entzündet."
Internationaler Tag der Menschen mit Behinderung;säkular;03.12.2018;;Der Internationale Tag der Menschen mit Behinderung ist ein von den Vereinten Nationen ausgerufener Gedenk- und Aktionstag, der das Bewusstsein der Öffentlichkeit für die Probleme von Menschen mit Behinderung wachhalten und den Einsatz für die Würde, Rechte und das Wohlergehen dieser Menschen fördern soll. Organisationen werden dazu aufgerufen, sich den Belangen und Problemen behinderter Menschen zu widmen und diese publik zu machen. Des Weiteren sollen Veranstaltungen organisiert werden, bei denen Menschen mit Behinderungen und ihre Bedürfnisse für eine nachhaltige Lebensgrundlage im Mittelpunkt stehen. Die Beiträge Behinderter für die Gesellschaft sollen gefeiert und die Umsetzung internationaler Normen und Standards gefördert werden (Weitere Informationen [eng.] https://www.un.org/development/desa/disabilities/).
Sankt Nikolaus;christ.evan./kath./ortho./altorient.;06.12.2018;;"An diesem Tag werden in Erinnerung an den Bischof Nikolaus von Myra (heutige Türkei) die Kinder beschenkt. Der „Nikolaus“ besucht
am Vorabend die Kinder und verteilt Süßigkeiten und Stutenkerle in die Stiefel und Schuhe. So feiert man einen Heiligen, der durch seine
vielen überlieferten Wohltaten die unendliche Liebe Gottes für die Menschen erahnen lässt. Auch in der Orthodoxen Kirche ist der Heilige
Nikolaus einer der hochverehrten Heiligen."
